area,rooms,age,price
50,2,20,130000
55,2,18,145000
60,3,15,180000
65,3,12,210000
70,3,10,240000
75,4,8,290000
80,4,6,320000
85,4,5,350000
90,5,4,400000
95,5,3,430000
100,5,2,470000
45,1,25,90000
48,2,22,115000
52,2,19,140000
58,3,16,170000
62,3,14,195000
68,3,11,225000
72,4,9,270000
78,4,7,305000
82,4,6,330000
88,5,5,380000
92,5,4,410000
98,5,3,450000
105,6,2,520000
110,6,1,580000
40,1,30,70000
42,1,28,80000
47,2,23,105000
53,2,20,135000
57,3,17,165000
63,3,13,200000
67,3,12,215000
73,4,8,275000
77,4,7,300000
83,4,5,340000
87,5,4,370000
93,5,3,420000
99,5,2,460000
108,6,1,600000
115,6,0,650000
